source,target
33-1882,08-6630
33-1882,357-1003
33-1882,168-6803
33-1882,19-6544
33-1882,55-4161
33-1882,40-578
33-1882,26-2514
33-1882,64-2023
33-1882,57-9325
33-1882,10-9325
33-1882,d-PrasadDeshpande
33-1882,15-5452
33-1882,76-9325
33-1882,88-6289
33-1882,91-9325
33-1882,77-201
33-1882,65-3495
33-1882,94-4396
33-1882,48-149
33-1882,78-9324
33-1882,218-7337
33-1882,319-6995
33-1882,284-3460
33-1882,08-4093
33-1882,284-3968
33-1882,177-1924
33-1882,153-1926
33-1882,65-4776
33-1882,54-5388
33-1882,r-LakshmishRamaswamy
33-1882,01-943
33-1882,57-3185
33-1882,32-698
33-1882,k-ShivkumarKalyanaraman
33-1882,23-4351
33-1882,14-8321
33-1882,98-5996
33-1882,85-6670
33-1882,51-4800
33-1882,85-3739
33-1882,74-7526
33-1882,07-8321
33-1882,88-4456
33-1882,167-3360
33-1882,84-5102
33-1882,93-11391
33-1882,91-877
33-1882,117-2623
33-1882,117-2592
33-1882,117-2680
33-1882,117-2608
33-1882,52-1123
33-1882,03-2095
33-1882,21-1792
33-1882,347-1244
33-1882,331-1148
33-1882,03-1876
33-1882,312-7178
33-1882,312-8144
33-1882,312-7341
33-1882,257-1674
33-1882,45-8120
33-1882,65-2136-2
33-1882,291-3179
33-1882,331-3698
33-1882,331-3904
33-1882,59-5239
33-1882,150-1355
33-1882,212-5893
33-1882,178-8889
33-1882,k-RaghuKrishnapuram
33-1882,186-8509
33-1882,74-507
33-1882,26-2155
33-1882,309-7743
33-1882,25-2370
33-1882,117-5940
33-1882,33-6391
33-1882,117-6059
33-1882,281-7011
33-1882,276-5089
33-1882,224-9150
33-1882,224-9229
33-1882,224-9253
33-1882,224-9063
33-1882,21-7445
33-1882,185-7653
33-1882,04-2966
33-1882,136-7861
33-1882,40-2916
33-1882,49-7536
33-1882,175-4819
33-1882,66-6214
33-1882,37-10649
33-1882,s-LVenkataSubramaniam
33-1882,169-7477
33-1882,173-0924
33-1882,h-JunHong1
33-1882,199-8157
33-1882,337-1030
33-1882,212-1904
33-1882,326-7177
33-1882,242-8477
33-1882,330-1672
33-1882,243-5708
33-1882,233-8190
33-1882,177-1975
33-1882,39-4980-3
33-1882,72-11205
33-1882,301-0513
33-1882,204-7057
33-1882,78-6048
33-1882,52-7536
33-1882,245-2644
33-1882,88-10847
33-1882,175-5573
33-1882,242-9030
33-1882,242-9289
33-1882,330-9104
33-1882,31-7537
33-1882,40-8342
55-4161,33-4411
55-4161,m-DebapriyoMajumdar
40-578,133-3638
40-578,m-DebapriyoMajumdar
40-578,k-KarinKailing
26-2514,m-DebapriyoMajumdar
64-2023,m-DebapriyoMajumdar
57-9325,m-DebapriyoMajumdar
10-9325,m-DebapriyoMajumdar
d-PrasadDeshpande,48-2626-1
d-PrasadDeshpande,38-768
d-PrasadDeshpande,94-4438
d-PrasadDeshpande,93-9012
d-PrasadDeshpande,n-JeffreyFNaughton
d-PrasadDeshpande,56-3378
d-PrasadDeshpande,22-835-1
d-PrasadDeshpande,96-2418
d-PrasadDeshpande,m-DebapriyoMajumdar
d-PrasadDeshpande,124-7268
d-PrasadDeshpande,k-KarinKailing
d-PrasadDeshpande,210-0825
15-5452,37-640
15-5452,96-3834
15-5452,96-2418
15-5452,m-DebapriyoMajumdar
76-9325,m-DebapriyoMajumdar
88-6289,m-DebapriyoMajumdar
91-9325,m-DebapriyoMajumdar
77-201,60-2319
77-201,m-DebapriyoMajumdar
65-3495,w-HaixunWang
65-3495,m-DebapriyoMajumdar
94-4396,r-LouiqaRaschid
94-4396,s-RalfSchenkel
94-4396,w-GerhardWeikum
94-4396,l-ChenLi1
94-4396,93-9012
94-4396,k-GeorgiaKoutrika
94-4396,96-2418
94-4396,m-DebapriyoMajumdar
94-4396,56-451
48-149,m-DebapriyoMajumdar
78-9324,67-6415
78-9324,m-DebapriyoMajumdar
284-3968,90-2736
177-1924,90-2736
153-1926,90-2736
65-4776,76-322
65-4776,96-2418
