name,country,institution,dblp,pid,final_url,expertise
nicolas anciaux,france,inria,https://dblp.uni-trier.de/pers/a/Anciaux:Nicolas.html,00-1107,https://dblp.uni-trier.de/pid/00/1107.html,8
peifeng li,china,"soochow university, china",https://dblp.org/pers/l/Li:Peifeng.html,00-1996,https://dblp.org/pid/00/1996.html,5
kalpa gunaratna,united states,samsung research,https://dblp.org/pers/g/Gunaratna:Kalpa.html,00-9080,https://dblp.org/pid/00/9080.html,7
rada chirkova,united states,nc state university,https://dblp.org/pers/c/Chirkova:Rada.html,01-3589,https://dblp.org/pid/01/3589.html,10
mohammad dashti,united states,mongodb,https://dblp.org/pid/01/4316-1.html,01-4316-1,https://dblp.org/pid/01/4316-1.html,3
spiros skiadopoulos,greece,university of the peloponnese,https://dblp.org/pid/01/5237.html,01-5237,https://dblp.org/pid/01/5237.html,7
liang chen,china,sun yat-sen university,https://dblp.uni-trier.de/pers/hd/c/Chen_0001:Liang,01-5394-1,https://dblp.uni-trier.de/pid/01/5394-1.html,8
mingjie tang,united states,ant group usa,https://dblp.org/pid/01/7213.html,01-7213,https://dblp.org/pid/01/7213.html,5
preethi jyothi,united states,university of illinois at urbana-champaign,https://dblp.org/pers/j/Jyothi:Preethi.html,01-9014,https://dblp.org/pid/01/9014.html,4
jiafeng guo,china,institute of computing technology,https://dblp.org/pers/g/Guo:Jiafeng.html,02-146,https://dblp.org/pid/02/146.html,8
justin levandoski,united states,"{'microsoft research', 'google'}",https://dblp.org/pid/02/3658.html,02-3658,https://dblp.org/pid/02/3658.html,8
ravi ramamurthy,united states,microsoft,https://dblp.uni-trier.de/pers/r/Ramamurthy:Ravishankar.html,02-4973,https://dblp.uni-trier.de/pid/02/4973.html,3
vincent leroy,france,"university grenoble-alps, cnrs, lig",https://dblp.uni-trier.de/pers/hd/l/Leroy_0001:Vincent,02-7933,https://dblp.uni-trier.de/pid/02/7933.html,6
dumitrel loghin,singapore,national university of singapore,https://dblp.uni-trier.de/pers/l/Loghin:Dumitrel.html,03-10118,https://dblp.uni-trier.de/pid/03/10118.html,5
vasudeva varma,india,iiit hyderabad,https://dblp.uni-trier.de/pers/v/Varma:Vasudeva.html,03-4045,https://dblp.uni-trier.de/pid/03/4045.html,2
rui zhang,"{'china', 'australia'}","{'tsinghua university graduate school at shenzhen', 'university of melbourne', 'university of melbourne, australia'}",https://dblp.uni-trier.de/pid/03/505.html,03-505,https://dblp.uni-trier.de/pid/03/505.html,8
niladri chatterjee,india,iit delhi,https://dblp.org/pers/c/Chatterjee:Niladri.html,03-545,https://dblp.org/pid/03/545.html,6
dan ports,united states,univ. of washington,https://dblp.uni-trier.de/pid/03/6105.html,03-6105,https://dblp.uni-trier.de/pid/03/6105.html,2
sujatha das gollapalli,singapore,"i2r, a*star",https://dblp.org/pers/g/Gollapalli:Sujatha_Das.html,03-6702,https://dblp.org/pid/03/6702.html,5
hongzhi yin,australia,the university of queensland,https://dblp.org/pid/04/10606.html,04-10606,https://dblp.org/pid/04/10606.html,1
edwin lughofer,austria,johannes kepler university linz,https://dblp.org/pers/l/Lughofer:Edwin.html,04-1538,https://dblp.org/pid/04/1538.html,10
alexandra meliou,united states,umass amherst,https://dblp.org/pers/m/Meliou:Alexandra.html,04-1835,https://dblp.org/pid/04/1835.html,6
huiping cao,united states,new mexico state university,https://dblp.org/pid/04/492.html,04-492,https://dblp.org/pid/04/492.html,9
fernando chirigati,united states,nyu,https://dblp.org/pers/c/Chirigati:Fernando_Seabra.html,04-5404,https://dblp.org/pid/04/5404.html,1
abolfazl asudeh,united states,"{'university of illinois at chicago', 'university of michifan'}",https://dblp.org/pid/04/7892.html,04-7892,https://dblp.org/pid/04/7892.html,10
donatella firmani,italy,roma tre university,https://dblp.uni-trier.de/pers/f/Firmani:Donatella.html,05-10127,https://dblp.uni-trier.de/pid/05/10127.html,3
jelle hellings,united states,university of california davis,https://dblp.org/pid/05/10671.html,05-10671,https://dblp.org/pid/05/10671.html,7
tristan allard,france,"univ rennes, cnrs, irisa",https://dblp.org/pid/05/1478.html,05-1478,https://dblp.org/pid/05/1478.html,4
harish doraiswamy,united states,independent consultant,https://dblp.org/pid/05/264.html,05-264,https://dblp.org/pid/05/264.html,9
stelios paparizos,united states,linkedin,https://dblp.org/pers/p/Paparizos:Stelios.html,05-5881,https://dblp.org/pid/05/5881.html,3
hongning wang,united states,university of virginia,https://dblp.org/pers/w/Wang:Hongning.html,05-6545,https://dblp.org/pid/05/6545.html,5
amr magdy,united states,university of california - riverside,https://dblp.org/pers/m/Magdy_0001:Amr.html,05-8073-1,https://dblp.org/pid/05/8073-1.html,3
junhao gan,australia,university of melbourne,https://dblp.org/pers/g/Gan:Junhao.html,06-11411,https://dblp.org/pid/06/11411.html,7
jianmin wang,china,"tsinghua university, china",https://dblp.org/pers/hd/w/Wang_0001:Jianmin,06-3456-1,https://dblp.org/pid/06/3456-1.html,5
james cheng,hong kong sar,chinese university of hong kong,https://dblp.uni-trier.de/pers/c/Cheng:James.html,06-4171,https://dblp.uni-trier.de/pid/06/4171.html,9
xiangnan kong,united states,worcester polytechnic institute,https://dblp.org/pers/k/Kong:Xiangnan.html,06-8315,https://dblp.org/pid/06/8315.html,7
vijay gabale,india,"{'huew', 'infilect technologies pvt. ltd.'}",https://dblp.org/pid/06/8397.html,06-8397,https://dblp.org/pid/06/8397.html,2
saptarshi ghosh,india,indian institute of technology kharagpur,https://dblp.uni-trier.de/pers/hd/g/Ghosh_0001:Saptarshi,06-900-1,https://dblp.uni-trier.de/pid/06/900-1.html,4
jarek szlichta,canada,ontario tech,https://dblp.org/pid/06/9379.html,06-9379,https://dblp.org/pid/06/9379.html,9
