name,country,institution,dblp,expertise
aaron elmore,united states,university of chicago,https://dblp.org/pers/e/Elmore:Aaron_J=.html,
abdalghani abujabal,germany,amazon alexa,https://dblp.org/pers/a/Abujabal:Abdalghani.html,
abdul quamar,united states,ibm research almaden,https://dblp.org/pers/q/Quamar:Abdul.html,
abdulhakim qahtan,netherlands,utrecht university,https://dblp.org/pid/121/4198.html,
abhijnan chakraborty,germany,max planck institute for software systems,https://dblp.org/pers/c/Chakraborty:Abhijnan.html,
abhishek ghose,united states,24/7 customer inc.,https://dblp.org/pid/39/1380.html,
abhishek kumar singh,india,international institute of information technology hyderabad,https://dblp.org/pers/s/Singh:Abhishek_Kumar.html,
abolfazl asudeh,united states,university of illinois at chicago,https://dblp.org/pid/04/7892.html,
abolfazl asudeh,united states,university of michifan,https://dblp.org/pid/04/7892.html,
adam jatowt,japan,kyoto university,https://dblp.uni-trier.de/pid/j/AdamJatowt.html,
adam lee,united states,university of pittsburgh,https://dblp.org/pid/62/1373.html,
alexander thomson,united states,google,https://dblp.org/pid/21/8510.html,
alexandra meliou,united states,umass amherst,https://dblp.org/pers/m/Meliou:Alexandra.html,
alexandros labrinidis,united states,university of pittsburgh,https://dblp.org/pid/l/ALabrinidis.html,
alexandros ntoulas,united states,linkedin,https://dblp.org/pers/n/Ntoulas:Alexandros.html,
alfons kemper,germany,technical university of munich,https://dblp.org/pid/k/AlfonsKemper.html,
alfons kemper,germany,tu munich,https://dblp.org/pid/k/AlfonsKemper.html,
ali ahmadvand,united states,emory university,https://dblp.org/pers/a/Ahmadvand:Ali.html,
alin deutsch,united states,ucsd,https://dblp.org/pid/d/AlinDeutsch.html,
aline bessa,united states,new york university,https://dblp.org/pid/134/9031.html,
alireza heidari,canada,u waterloo,https://dblp.org/pid/164/1401.html,
alkis polyzotis,united states,"google, usa",https://dblp.org/pid/p/NeoklisPolyzotis.html,
alkis simitsis,greece,athena research center,https://dblp.uni-trier.de/pers/s/Simitsis:Alkis.html,
allison holloway,united states,oracle,https://dblp.org/pers/h/Holloway:Allison.html,
alon halevy,united states,facebook,https://dblp.uni-trier.de/pers/h/Halevy:Alon_Y=.html,
alon halevy,united states,recruit,https://dblp.uni-trier.de/pers/h/Halevy:Alon_Y=.html,
altigran da silva,brazil,universidade federal do amazonas,https://dblp.uni-trier.de/pers/s/Silva:Altigran_Soares_da.html,
alvin cheung,united states,uc berkeley,https://dblp.uni-trier.de/pers/c/Cheung:Alvin.html,
ambuj singh,united states,ucsb,https://dblp.org/pid/s/AmbujKSingh.html,
amelie chi zhou,china,shenzhen university,https://dblp.org/pers/z/Zhou:Amelie_Chi.html,
amit awekar,india,iit g,https://dblp.org/pid/136/7882.html,
amit awekar,india,"indian institute of technology, guwahati, assam, india",https://dblp.org/pid/136/7882.html,
amit gupta,switzerland,ecole polytechnique fdrale de lausanne,https://dblp.org/pers/hd/g/Gupta:Amit,
amitabha bagchi,india,"indian institute of technology, delhi",https://dblp.uni-trier.de/pers/b/Bagchi:Amitabha.html,
amitava das,india,"indian institute of information technoogy, sri city",https://dblp.org/pid/75/5002.html,
amol deshpande,united states,university of maryland at college park,https://dblp.org/pid/d/AmolDeshpande.html,
amr el abbadi,united states,"university of california, santa barbara",https://dblp.org/pid/a/AmrElAbbadi.html,
amr magdy,united states,university of california - riverside,https://dblp.org/pers/m/Magdy_0001:Amr.html,
amrith krishna,india,iit kharagpur,https://dblp.org/pid/160/4306.html,
amy siu,germany,beuth university of applied sciences,https://dblp.org/pers/s/Siu:Amy.html,
an yan,china,university of california san diego,https://dblp.uni-trier.de/pid/37/10133-3.html,
anand mishra,india,iit jodhpur,https://dblp.org/pers/m/Mishra_0001:Anand.html,
anastasia ailamaki,switzerland,epfl,https://dblp.uni-trier.de/pers/a/Ailamaki:Anastasia.html,
andrea cali,united kingdom,birkbeck univ. of london,https://dblp.uni-trier.de/pers/c/Cal=igrave=:Andrea.html,
andreas hotho,germany,universitat wurzburg,https://dblp.org/pers/h/Hotho:Andreas.html,
andreas kipf,united states,mit,https://dblp.org/pers/k/Kipf:Andreas.html,
andreas lommatzsch,germany,tu berlin,https://dblp.org/pers/l/Lommatzsch:Andreas.html,
andreas zufle,united states,george mason university,https://dblp.org/pid/18/2478.html,
andreea-ioana deac,united kingdom,university of cambridge,https://dblp.org/pers/d/Deac:Andreea.html,
andrew crotty,united states,cmu/brown,https://dblp.org/pid/147/4971.html,
andrew pavlo,united states,cmu,https://dblp.uni-trier.de/pers/p/Pavlo:Andrew.html,
andri ashfahani,singapore,nanyang technological university,https://dblp.org/pers/a/Ashfahani:Andri.html,
angela bonifati,france,univ. of lyon,https://dblp.uni-trier.de/pers/b/Bonifati:Angela.html,
anhai doan,united states,university of wisconsin-madison,https://dblp.org/pid/d/AnHaiDoan.html,
animesh mukherjee,india,"indian institute of technology, kharagpur",https://dblp.org/pers/hd/m/Mukherjee_0001:Animesh,
anirban chakraborty,india,indian institute of science,https://dblp.uni-trier.de/pers/c/Chakraborty:Anirban.html,
anirban dasgupta,india,iit gandhinagar,https://dblp.org/pid/54/385-1.html,
anirban dasgupta,india,iitgn,https://dblp.org/pid/54/385-1.html,
anja gruenheid,united states,google inc.,https://dblp.org/pid/81/10578.html,
anja gruenheid,united states,microsoft,https://dblp.org/pid/81/10578.html,
anna fariha,united states,microsoft,https://dblp.org/pid/29/11192.html,
anna fariha,united states,university of massachusetts amherst,https://dblp.org/pid/29/11192.html,
anna squicciarini,united states,the pennsylvania state university,https://dblp.org/pers/s/Squicciarini:Anna_Cinzia.html,
annalisa appice,italy,university of bari,https://dblp.org/pers/a/Appice:Annalisa.html,
anshumali shrivastava,united states,rice university,https://dblp.org/pers/s/Shrivastava:Anshumali.html,
anshuman dutt,united states,microsoft,https://dblp.org/pers/d/Dutt:Anshuman.html,
anthony k. h. tung,singapore,national university of singapore,https://dblp.org/pid/t/AnthonyKHTung.html,
anthony tung,singapore,nus,https://dblp.org/pers/t/Tung:Anthony_K=_H=.html,
anthony tung,singapore,nus,https://dblp.org/pers/t/Tung:Anthony_K=_H=.html,
anton dignoes,italy,free university of bozen-bolzano,https://dblp.org/pid/96/11411.html,
anton dignoes,italy,free university of bozen-bolzano,https://dblp.org/pid/96/11411.html,
antonios deligiannakis,greece,technical university of crete,https://dblp.org/pid/d/ADeligiannakis.html,
antonios deligiannakis,greece,technical university of crete,https://dblp.org/pid/d/ADeligiannakis.html,
antonis deligiannakis,greece,technical university of crete,https://dblp.org/pid/d/ADeligiannakis.html,
aoqian zhang,canada,university of waterloo,https://dblp.org/pid/163/0449.html,
aoying zhou,china,east china normal university,https://dblp.org/pid/z/AoyingZhou.html,
aparna garimella,india,adobe research,https://dblp.org/pid/183/5034.html,
aparna varde,united states,montclair state university,https://dblp.uni-trier.de/pers/v/Varde:Aparna_S=.html,
apostolos papadopoulos,greece,aristotle university of thessaloniki,https://dblp.org/pers/p/Papadopoulos:Apostolos_N=.html,
arash termehchy,united states,oregon state university,https://dblp.org/pid/t/ArashTermehchy.html,
arash termehchy,united states,oregon state university,https://dblp.org/pid/t/ArashTermehchy.html,
